taps,beta,cutoff,delay,gain_db,null_lufs,null_rms,null_peak,esr,mae,mse,mrstft
129,12.0,0.5,95.50002163378396,-2.1952257132493876e-08,-inf,-97.16682203817618,-62.532223997050764,1.92007324561427e-10,1.481983726425117e-07,1.1988109566536293e-11,1.0087274122717423e-05
129,12.0,0.6,95.50002163378396,-2.4654432115859976e-06,-inf,-98.0525737365685,-64.04333734049098,1.565822849724165e-10,1.457589673287007e-07,9.776322818494396e-12,8.616251039626763e-06
129,12.0,0.7,95.50002163378396,-1.8699045220646724e-06,-inf,-99.06656648763484,-65.75641906868543,1.239776360712824e-10,1.4253039567627658e-07,7.740629105777742e-12,7.295037741254436e-06
129,12.0,0.75,95.49997836621604,-3.521180464978628e-07,-inf,-99.61650890259612,-66.69331570801087,1.0923180488232692e-10,1.434044559976868e-07,6.8199629783441895e-12,6.682537335063617e-06
129,12.0,0.8,95.49997836621604,1.5396155567408953e-07,-inf,-100.18644189258211,-67.65196230621109,9.579786069055444e-11,1.4143023459914443e-07,5.981205419227323e-12,6.089967993917023e-06
129,12.0,0.85,95.50002163378396,-6.905268527459896e-07,-inf,-100.76035966210695,-68.607248377502,8.393904693004361e-11,1.40056435626868e-07,5.240792213559897e-12,5.582489962539092e-06
129,12.0,0.9,95.49997836621604,-8.959728112262777e-07,-inf,-101.31429676947944,-69.56177430772429,7.388738953237719e-11,1.4002332832470223e-07,4.6132100602032445e-12,5.170384796804109e-06
129,12.0,0.95,95.49997836621604,-2.892939320823491e-06,-inf,-101.81557720523288,-70.40911380640816,6.583279281229343e-11,1.388240847160491e-07,4.110315765857006e-12,4.764171200918883e-06
129,14.0,0.5,95.50002163378396,-6.634765799481843e-07,-inf,-97.146818225616,-62.39121157611255,1.928937594399416e-10,1.4565238799030297e-07,1.2043454738766078e-11,1.0207442198584785e-05
129,14.0,0.6,95.49997836621604,-1.9618013037747867e-06,-inf,-98.02281272487872,-63.878593026328915,1.5765898545036588e-10,1.4505486371697348e-07,9.843547354482708e-12,8.782688608581472e-06
129,14.0,0.7,95.49997836621604,-2.2506562073367015e-06,-inf,-99.01818073844453,-65.55165600230166,1.2536662263127077e-10,1.4328596297036015e-07,7.827351438405527e-12,7.402433912045384e-06
129,14.0,0.75,95.49997836621604,-1.56086048888888e-06,-inf,-99.5547329699943,-66.4533411714832,1.1079666876433439e-10,1.4145066419305918e-07,6.9176663327191895e-12,6.890056829132202e-06
