case,freq,mag_db,phase_rad
BigMuffPickle:noon,31.5,-10.2660309492,-0.14593705343
BigMuffPickle:noon,63,-10.8006335677,-0.338944618192
BigMuffPickle:noon,125,-12.5305550369,-0.609534531803
BigMuffPickle:noon,250,-16.6883372021,-0.854665800796
BigMuffPickle:noon,500,-23.8883813021,-0.66048948623
BigMuffPickle:noon,1000,-23.3564040959,0.359481001326
BigMuffPickle:noon,2000,-18.597468082,0.411308784876
BigMuffPickle:noon,4000,-16.8156717258,0.248327132506
BigMuffPickle:noon,8000,-16.2997640356,0.130544334201
BigMuffPickle:noon,16000,-16.1650362618,0.0661145737101
BigMuffPickle:mid0,31.5,-12.1341646254,-0.169939925979
BigMuffPickle:mid0,63,-12.6221518264,-0.373361739636
BigMuffPickle:mid0,125,-14.1272457164,-0.679751508421
BigMuffPickle:mid0,250,-17.5743658652,-1.03737898007
BigMuffPickle:mid0,500,-22.9683933948,-1.32354823044
BigMuffPickle:mid0,1000,-30.4108840639,-1.48454432228
BigMuffPickle:mid0,2000,-42.9027547304,-0.85463218693
BigMuffPickle:mid0,4000,-36.4656140193,0.344381196138
BigMuffPickle:mid0,8000,-33.1980216679,0.242305667303
BigMuffPickle:mid0,16000,-32.3489879529,0.130129495385
BigMuffPickle:mid10,31.5,-9.25370461068,-0.140200506201
BigMuffPickle:mid10,63,-9.81426793462,-0.330281632355
BigMuffPickle:mid10,125,-11.6374122965,-0.586989343254
BigMuffPickle:mid10,250,-15.9769989444,-0.77595516118
BigMuffPickle:mid10,500,-22.1602745907,-0.371610489876
BigMuffPickle:mid10,1000,-19.4835461148,0.340165119607
BigMuffPickle:mid10,2000,-16.172668771,0.306131004389
BigMuffPickle:mid10,4000,-15.0383725944,0.175745490136
BigMuffPickle:mid10,8000,-14.7252726717,0.0910323357318
BigMuffPickle:mid10,16000,-14.644835188,0.0459234812255
BigMuffPickle:treble0,31.5,-5.60126319233,-0.133319971556
BigMuffPickle:treble0,63,-5.94672075674,-0.311095146267
BigMuffPickle:treble0,125,-7.08811575216,-0.587886847815
BigMuffPickle:treble0,250,-9.95303897714,-0.938933131037
BigMuffPickle:treble0,500,-14.6754731778,-1.23786853446
BigMuffPickle:treble0,1000,-20.4548599439,-1.42529702737
BigMuffPickle:treble0,2000,-26.6431629381,-1.51429726107
BigMuffPickle:treble0,4000,-32.829578748,-1.53741046322
BigMuffPickle:treble0,8000,-38.9118337739,-1.52900661571
BigMuffPickle:treble0,16000,-44.9347863427,-1.49693803318
BigMuffPickle:treble10,31.5,-16.9423099715,-0.0478501809972
BigMuffPickle:treble10,63,-17.5885870044,-0.198529974631
BigMuffPickle:treble10,125,-19.8071909825,-0.31041106884
BigMuffPickle:treble10,250,-23.8278544923,0.0290853632527
BigMuffPickle:treble10,500,-20.4384310651,0.789052659878
BigMuffPickle:treble10,1000,-14.5204301273,0.82190275586
BigMuffPickle:treble10,2000,-10.9170188634,0.578498997878
BigMuffPickle:treble10,4000,-9.39567605108,0.330165306481
BigMuffPickle:treble10,8000,-8.92639458845,0.171730503968
BigMuffPickle:treble10,16000,-8.80146096799,0.086763435584
Crate:noon,31.5,-11.8763486454,0.0317910110197
Crate:noon,63,-12.4133057319,-0.212613234535
Crate:noon,125,-14.3793315424,-0.444405447798
Crate:noon,250,-18.656234023,-0.477354860762
Crate:noon,500,-22.1402785346,0.186388139669
Crate:noon,1000,-17.1868449336,0.774541393602
Crate:noon,2000,-11.9624474608,0.740120002564
Crate:noon,4000,-8.907182006,0.494052040855
Crate:noon,8000,-7.76556251007,0.264042827436
Crate:noon,16000,-7.51589527514,0.128620461229
Crate:bass10,31.5,-4.68179007679,-0.350858444585
Crate:bass10,63,-6.86648414172,-0.667459750308
Crate:bass10,125,-11.1113810996,-0.897834337042
Crate:bass10,250,-17.2391454537,-0.850926342814
Crate:bass10,500,-22.5999872977,-0.055395617153
Crate:bass10,1000,-17.5021735659,0.717107369371
Crate:bass10,2000,-12.0405189681,0.716839441833
Crate:bass10,4000,-8.93795664786,0.482210242447
Crate:bass10,8000,-7.79097022641,0.258635363707
Crate:bass10,16000,-7.53164156947,0.127108438761
Crate:mid0,31.5,-11.8125248158,0.0262140969279
Crate:mid0,63,-12.2101458637,-0.232997280071
Crate:mid0,125,-13.9077641697,-0.529241757359
Crate:mid0,250,-18.5245510372,-0.775170858684
Crate:mid0,500,-28.273152721,-0.134979202821
Crate:mid0,1000,-19.4660828602,1.04296260462
Crate:mid0,2000,-12.7868349093,0.89535000529
Crate:mid0,4000,-9.3538614775,0.587095917009
Crate:mid0,8000,-8.01113900546,0.325399888728
Crate:mid0,16000,-7.61189346977,0.167663545981
Crate:treble10,31.5,-12.7647776137,0.045850726117
Crate:treble10,63,-13.3768211038,-0.182348347532
Crate:treble10,125,-15.6208331723,-0.368628417966
Crate:treble10,250,-20.4991055413,-0.184953553384
Crate:treble10,500,-19.4474615503,0.801107224961
Crate:treble10,1000,-12.3837865067,1.06095079124
Crate:treble10,2000,-6.89958076405,0.922457446383
Crate:treble10,4000,-3.39166960703,0.635437588791
Crate:treble10,8000,-1.81771509883,0.366118661064
Crate:treble10,16000,-1.29006188151,0.193211407138
DmblRock:noon,31.5,-13.2877349604,0.104432348051
DmblRock:noon,63,-13.4838650827,-0.0542892050668
DmblRock:noon,125,-14.3499996283,-0.183321353953
DmblRock:noon,250,-15.9959935419,-0.211028620875
DmblRock:noon,500,-17.1318190915,-0.0714333390609
DmblRock:noon,1000,-16.5851437644,0.0770046255092
DmblRock:noon,2000,-15.3814244071,0.0531600714407
DmblRock:noon,4000,-15.1840000466,-0.0951283250423
DmblRock:noon,8000,-16.2879410052,-0.208909393346
DmblRock:noon,16000,-17.6699475743,-0.193684405045
DmblRock:bass0,31.5,-27.4618811343,0.250462338093
DmblRock:bass0,63,-27.2964814449,0.16809705644
DmblRock:bass0,125,-27.2117079065,0.169120890242
DmblRock:bass0,250,-26.9138414749,0.257478214448
DmblRock:bass0,500,-25.6453463912,0.41916255082
DmblRock:bass0,1000,-23.0052726559,0.504106753006
DmblRock:bass0,2000,-20.4586547261,0.405405615979
DmblRock:bass0,4000,-19.1805204231,0.243732698951
DmblRock:bass0,8000,-18.7638254364,0.128639090904
DmblRock:bass0,16000,-18.6512026075,0.0650234122167
DmblRock:bass10,31.5,-6.98057130158,-0.0681107240489
DmblRock:bass10,63,-7.78348024871,-0.278090472189
DmblRock:bass10,125,-9.83752849454,-0.453245448972
DmblRock:bass10,250,-12.7950438891,-0.45446061514
DmblRock:bass10,500,-14.7444734287,-0.264702079971
DmblRock:bass10,1000,-14.7777497016,-0.090827975072
DmblRock:bass10,2000,-14.1604212875,-0.105822556059
DmblRock:bass10,4000,-14.6975050375,-0.240883852757
DmblRock:bass10,8000,-16.4275717011,-0.295044864991
DmblRock:bass10,16000,-17.866263153,-0.218470440933
DmblRock:treble10,31.5,-16.4264150626,0.137526253753
DmblRock:treble10,63,-16.7195260004,0.0253246674081
DmblRock:treble10,125,-17.787587379,0.00932874706778
DmblRock:treble10,250,-18.987850069,0.286011045163
DmblRock:treble10,500,-16.3329949298,0.749111821465
DmblRock:treble10,1000,-11.2590772089,0.874084954441
DmblRock:treble10,2000,-6.97134779353,0.712239645235
DmblRock:treble10,4000,-4.5790603726,0.447998639877
DmblRock:treble10,8000,-3.70878362866,0.241300830138
DmblRock:treble10,16000,-3.46790412556,0.122855202477
DmblJazz:noon,31.5,-36.4021687554,1.30301267361
DmblJazz:noon,63,-31.989641176,0.946864517046
DmblJazz:noon,125,-29.5239962051,0.646308196375
